failure_scenario,failure_probability,concurrency,variant,metric,n,mean,median,std,Q1,Q3,IQR,min,max,CI_low,CI_high
F3,0.01,10,V0,DER,10,0.010299999999999998,0.0103,0.0007916228058025275,0.0099,0.011,0.0010999999999999985,0.0088,0.0116,0.009809347101642446,0.010790652898357551
F3,0.01,10,V0,EOER,10,0.9896999999999998,0.9897,0.0007916228058025263,0.989,0.9901,0.0010999999999999899,0.9884,0.9912,0.9892093471016422,0.9901906528983574
F3,0.01,10,V0,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.01,10,V0,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.01,10,V0,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.01,10,V0,RAF,10,1.0412000000000001,1.0412,0.0031664912232101396,1.0396,1.044,0.0043999999999999595,1.0352,1.0464,1.03923738840657,1.0431626115934303
F3,0.01,10,V0,DAF,10,1.0412000000000001,1.0412,0.0031664912232101396,1.0396,1.044,0.0043999999999999595,1.0352,1.0464,1.03923738840657,1.0431626115934303
F3,0.01,10,V0,P95,10,9.9939,9.0415,2.389975427581724,8.281,10.496,2.215,8.064,14.733,8.51257788301336,11.47522211698664
F3,0.01,10,V0,throughput,10,971.0593548280665,986.3294195940343,72.74538002088806,885.9955693715407,1047.3584981138674,161.36292874232674,867.8065750928805,1053.398193580664,925.9713011644459,1016.1474084916871
F3,0.01,10,V1,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.01,10,V1,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,0.01,10,V1,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.01,10,V1,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.01,10,V1,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.01,10,V1,RAF,10,1.03908,1.0394,0.004549187961725827,1.0372,1.0428,0.005600000000000049,1.0304,1.0448,1.0362603840891986,1.0418996159108014
F3,0.01,10,V1,DAF,10,1.03908,1.0394,0.004549187961725827,1.0372,1.0428,0.005600000000000049,1.0304,1.0448,1.0362603840891986,1.0418996159108014
F3,0.01,10,V1,P95,10,8.864500000000001,8.32,1.6660985198294183,8.085,9.022,0.9369999999999994,7.407,13.304,7.831841438736351,9.897158561263652
F3,0.01,10,V1,throughput,10,1047.763960141089,1052.1306781110966,88.12172000567652,1011.1266251254084,1106.2545350445082,95.1279099190998,840.959565969599,1159.70210590122,993.1455522173745,1102.3823680648036
F3,0.01,10,V2,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.01,10,V2,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,0.01,10,V2,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.01,10,V2,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.01,10,V2,UAR,10,0.01036,0.0103,0.0008783823515733656,0.0096,0.0112,0.0016000000000000007,0.0093,0.0117,0.009815572978056542,0.010904427021943457
F3,0.01,10,V2,RAF,10,1.04144,1.0412,0.0035135294062934655,1.0384,1.0448,0.006399999999999961,1.0372,1.0468,1.039262291912226,1.0436177080877738
